Time,Latitude,Longitude,Altitude,Horizontal accuracy,Vertical accuracy,Heading,Speed,Temperature,Humidity
2024-05-24T14:07:59,22.40854359,114.2225906,3.873010874,40,59.32452774,,,27.31,76.96
2024-05-24T14:09:09,22.39680844,114.2104877,-96.31491455,79.9124068,145.6268158,206.8249073,15.61217785,27.29,77
2024-05-24T14:09:33,22.39237481,114.2090686,34.93810935,63.16409754,38.02346039,,,27.26,76.82
2024-05-24T14:10:04,22.38834775,114.2088343,10.96308994,82,49.54368591,,,27.27,76.87
2024-05-24T14:10:04,22.38834775,114.2088343,10.96308994,82,49.54368591,,,27.2,76.93
2024-05-24T14:11:09,22.38813977,114.2084212,12.28027344,57,25.06293678,,,27.19,77.09
2024-05-24T14:11:39,22.38502989,114.2057776,11.03063626,40.24666549,43.66192627,222.6179333,19.14362335,27.14,77.03
2024-05-24T14:12:08,22.3851579,114.2040832,24.72517295,40.37355468,21.15736887,252.5568484,11.34748955,27.13,76.88
2024-05-24T14:12:39,22.38259149,114.2032509,48.07419069,40.2644972,21.01567924,191.3061343,0,27.1,76.65
2024-05-24T14:13:09,22.38190179,114.2031224,36.29116972,12.27885329,20.86731786,187.6412262,0,27.11,76.24
2024-05-24T14:13:39,22.37945776,114.1986846,-4.343265269,28.25229,12.76002152,242.1536048,22.12153075,27.07,76.26
2024-05-24T14:14:09,22.37709448,114.195,23.94164986,18.25886954,7.955234656,233.7707824,7.082383682,27.08,76.41
2024-05-24T14:14:39,22.37712444,114.1942544,26.23621453,25.17150437,7.200961296,305.6050705,0.76643327,27.1,76.41
2024-05-24T14:15:09,22.37652826,114.1944446,22.11786896,15.97481882,9.222052113,182.0926282,6.323308094,27.07,76.19
2024-05-24T14:15:39,22.37632057,114.1943617,9.68537971,14.96357892,8.972855688,243.1589294,2.090991124,27.09,75.82
2024-05-24T14:16:09,22.37630285,114.1942537,8.340242356,15.81858739,8.488735393,257.9148637,0,27.14,75.48
2024-05-24T14:16:39,22.37638384,114.1941278,9.338220044,17.94718765,7.944002432,285.7634362,0,27.25,74.1
2024-05-24T14:17:09,22.37637716,114.1941247,8.987647199,19.75527194,8.290216365,285.7634394,0,27.78,73.28
